asset,year,technology,region,installed,capacity
0,2045,e_tec2,Eastern,2035,280.00000000000
0,2049,e_tec2,Eastern,2035,280.00000000000
1,2045,e_tec2,Eastern,2040,820.00000000000
1,2049,e_tec2,Eastern,2040,820.00000000000
1,2050,e_tec2,Eastern,2040,820.00000000000
1,2054,e_tec2,Eastern,2040,820.00000000000
2,2050,e_tec2,Eastern,2045,380.00000000000
2,2054,e_tec2,Eastern,2045,380.00000000000
2,2055,e_tec2,Eastern,2045,380.00000000000
2,2059,e_tec2,Eastern,2045,380.00000000000
3,2045,e_tec2,Western,2035,280.00000000000
3,2049,e_tec2,Western,2035,280.00000000000
4,2045,e_tec2,Western,2040,820.00000000000
4,2049,e_tec2,Western,2040,820.00000000000
4,2050,e_tec2,Western,2040,820.00000000000
4,2054,e_tec2,Western,2040,820.00000000000
5,2050,e_tec2,Western,2045,380.00000000000
5,2054,e_tec2,Western,2045,380.00000000000
5,2055,e_tec2,Western,2045,380.00000000000
5,2059,e_tec2,Western,2045,380.00000000000
